Layer name,	IFMAP Height,	IFMAP Width,	Filter Height,	Filter Width,	Channels,	Num Filter,	Strides,
Conv1,	1256,	1256,	7,	7,	3,	64,	1,
Conv2,	1254,	1254,	1,	1,	64,	64,	1,
Conv3,	1256,	1256,	3,	3,	64,	64,	1,
Conv4,	1254,	1254,	1,	1,	64,	256,	1,
Resid5,	1254,	1254,	1,	1,	64,	256,	1,
Conv6,	1254,	1254,	1,	1,	256,	64,	1,
Conv7,	1256,	1256,	3,	3,	64,	64,	1,
Conv8,	1254,	1254,	1,	1,	64,	256,	1,
Conv9,	1254,	1254,	1,	1,	256,	64,	1,
Conv10,	1256,	1256,	3,	3,	64,	64,	1,
Conv11,	1254,	1254,	1,	1,	64,	256,	1,
Conv12,	1254,	1254,	1,	1,	256,	128,	2,
Conv13,	629,	629,	3,	3,	128,	128,	1,
Conv14,	627,	627,	1,	1,	128,	512,	1,
Resid15,	627,	627,	1,	1,	256,	512,	1,
Conv16,	1254,	1254,	1,	1,	512,	128,	2,
Conv17,	629,	629,	3,	3,	128,	128,	1,
Conv18,	627,	627,	1,	1,	128,	512,	1,
Conv19,	1254,	1254,	1,	1,	512,	128,	2,
Conv20,	629,	629,	3,	3,	128,	128,	1,
Conv21,	627,	627,	1,	1,	128,	512,	1,
Conv22,	1254,	1254,	1,	1,	512,	128,	2,
Conv23,	629,	629,	3,	3,	128,	128,	1,
Conv24,	627,	627,	1,	1,	128,	512,	1,
Conv25,	1254,	1254,	1,	1,	512,	256,	2,
Conv26,	629,	629,	3,	3,	256,	256,	1,
Conv27,	627,	627,	1,	1,	256,	1024,	1,
Resid28,	627,	627,	1,	1,	512,	1024,	1,
Conv29,	1254,	1254,	1,	1,	1024,	256,	2,
Conv30,	629,	629,	3,	3,	256,	256,	1,
Conv31,	627,	627,	1,	1,	256,	1024,	1,
Conv32,	1254,	1254,	1,	1,	1024,	256,	2,
Conv33,	629,	629,	3,	3,	256,	256,	1,
Conv34,	627,	627,	1,	1,	256,	1024,	1,
Conv35,	1254,	1254,	1,	1,	1024,	256,	2,
Conv36,	629,	629,	3,	3,	256,	256,	1,
Conv37,	627,	627,	1,	1,	256,	1024,	1,
Conv38,	1254,	1254,	1,	1,	1024,	256,	2,
Conv39,	629,	629,	3,	3,	256,	256,	1,
Conv40,	627,	627,	1,	1,	256,	1024,	1,
Conv41,	1254,	1254,	1,	1,	1024,	256,	2,
Conv42,	629,	629,	3,	3,	256,	256,	1,
Conv43,	627,	627,	1,	1,	256,	1024,	1,
Conv44,	1254,	1254,	1,	1,	1024,	512,	2,
Conv45,	629,	629,	3,	3,	512,	512,	1,
Conv46,	627,	627,	1,	1,	512,	2048,	1,
Resid47,	627,	627,	1,	1,	1024,	2048,	1,
Conv48,	1254,	1254,	1,	1,	2048,	512,	2,
Conv49,	629,	629,	3,	3,	512,	512,	1,
Conv50,	627,	627,	1,	1,	512,	2048,	1,
Conv51,	1254,	1254,	1,	1,	2048,	512,	2,
Conv52,	629,	629,	3,	3,	512,	512,	1,
Conv53,	627,	627,	1,	1,	512,	2048,	1,
